ID,Prob1
0, 0.33
1, 0.38
2, 0.15
3, 0.13
4, 0.20
5, 0.21
6, 0.15
7, 0.26
8, 0.33
9, 0.37
10, 0.28
11, 0.25
12, 0.28
13, 0.84
14, 0.21
15, 0.51
16, 0.22
17, 0.72
18, 0.30
19, 0.21
20, 0.46
21, 0.29
22, 0.20
23, 0.31
24, 0.27
25, 0.53
26, 0.40
27, 0.19
28, 0.25
29, 0.18
30, 0.36
31, 0.33
32, 0.23
33, 0.34
34, 0.52
35, 0.38
36, 0.24
37, 0.23
38, 0.52
39, 0.24
40, 0.23
41, 0.34
42, 0.27
43, 0.39
44, 0.36
45, 0.29
46, 0.45
47, 0.37
48, 0.43
49, 0.44
50, 0.27
51, 0.35
52, 0.68
53, 0.22
54, 0.19
55, 0.18
56, 0.23
57, 0.25
58, 0.52
59, 0.26
60, 0.17
61, 0.18
62, 0.17
63, 0.41
64, 0.26
65, 0.18
66, 0.40
67, 0.24
68, 0.17
69, 0.44
70, 0.32
71, 0.27
72, 0.24
73, 0.38
74, 0.75
75, 0.30
76, 0.31
77, 0.47
78, 0.45
79, 0.29
80, 0.31
81, 0.40
82, 0.40
83, 0.42
84, 0.37
85, 0.36
86, 0.44
87, 0.60
88, 0.27
89, 0.11
90, 0.25
91, 0.26
92, 0.31
93, 0.64
94, 0.28
95, 0.27
96, 0.09
97, 0.28
98, 0.27
99, 0.31
100, 0.59
101, 0.34
102, 0.21
103, 0.39
104, 0.27
105, 0.60
106, 0.22
107, 0.67
108, 0.40
109, 0.13
110, 0.26
111, 0.39
112, 0.92
113, 0.21
114, 0.43
115, 0.21
116, 0.24
117, 0.61
118, 0.39
119, 0.34
120, 0.47
121, 0.35
122, 0.20
123, 0.35
124, 0.12
125, 0.34
126, 0.57
127, 0.61
128, 0.40
129, 0.75
130, 0.07
131, 0.21
132, 0.28
133, 0.42
134, 0.34
135, 0.25
136, 0.28
137, 0.77
138, 0.17
139, 0.42
140, 0.33
141, 0.24
142, 0.63
143, 0.17
144, 0.51
145, 0.30
146, 0.26
147, 0.37
148, 0.16
149, 0.19
150, 0.31
151, 0.87
152, 0.26
153, 0.37
154, 0.26
155, 0.20
156, 0.22
157, 0.33
158, 0.33
159, 0.44
160, 0.68
161, 0.24
162, 0.28
163, 0.37
164, 0.52
165, 0.19
166, 0.26
167, 0.15
168, 0.31
169, 0.24
170, 0.46
171, 0.44
172, 0.34
173, 0.32
174, 0.34
175, 0.14
176, 0.77
177, 0.21
178, 0.36
179, 0.23
180, 0.68
181, 0.23
182, 0.29
183, 0.25
184, 0.26
185, 0.31
186, 0.37
187, 0.23
188, 0.29
189, 0.18
190, 0.26
191, 0.52
192, 0.22
193, 0.43
194, 0.39
195, 0.48
196, 0.26
197, 0.44
198, 0.67
199, 0.48
200, 0.26
201, 0.29
202, 0.19
203, 0.46
204, 0.18
205, 0.17
206, 0.16
207, 0.23
208, 0.28
209, 0.27
210, 0.39
211, 0.24
212, 0.61
213, 0.31
214, 0.29
215, 0.17
216, 0.56
217, 0.59
218, 0.57
219, 0.44
220, 0.40
221, 0.24
222, 0.64
223, 0.51
224, 0.36
225, 0.27
226, 0.69
227, 0.38
228, 0.41
229, 0.47
230, 0.42
231, 0.68
232, 0.27
233, 0.23
234, 0.17
235, 0.39
236, 0.25
237, 0.19
238, 0.24
239, 0.32
240, 0.19
241, 0.14
242, 0.40
243, 0.52
244, 0.14
245, 0.51
246, 0.60
247, 0.31
248, 0.34
249, 0.33
250, 0.37
251, 0.72
252, 0.25
253, 0.19
254, 0.23
255, 0.48
256, 0.85
257, 0.41
258, 0.57
259, 0.83
260, 0.21
261, 0.26
262, 0.34
263, 0.34
264, 0.50
265, 0.29
266, 0.21
267, 0.28
268, 0.41
269, 0.01
270, 0.15
271, 0.28
272, 0.29
273, 0.33
274, 0.51
275, 0.35
276, 0.23
277, 0.33
278, 0.29
279, 0.34
280, 0.21
281, 0.30
282, 0.38
283, 0.23
284, 0.48
285, 0.50
286, 0.26
287, 0.19
288, 0.15
289, 0.19
290, 0.60
291, 0.25
292, 0.27
293, 0.23
294, 0.34
295, 0.34
296, 0.34
297, 0.47
298, 0.57
299, 0.30
300, 0.21
301, 0.14
302, 0.43
303, 0.36
304, 0.19
305, 0.19
306, 0.18
307, 0.22
308, 0.26
309, 0.20
310, 0.32
311, 0.32
312, 0.19
313, 0.36
314, 0.63
315, 0.35
316, 0.18
317, 0.20
318, 0.31
319, 0.35
320, 0.29
321, 0.24
322, 0.16
323, 0.27
