ID,Prob1
0, 0.52
1, 0.43
2, 0.19
3, 0.09
4, 0.30
5, 0.18
6, 0.19
7, 0.31
8, 0.35
9, 0.46
10, 0.39
11, 0.29
12, 0.22
13, 0.67
14, 0.28
15, 0.52
16, 0.19
17, 0.80
18, 0.06
19, 0.30
20, 0.41
21, 0.22
22, 0.25
23, 0.33
24, 0.24
25, 0.48
26, 0.37
27, 0.19
28, 0.33
29, 0.20
30, 0.35
31, 0.21
32, 0.34
33, 0.27
34, 0.51
35, 0.39
36, 0.28
37, 0.23
38, 0.40
39, 0.40
40, 0.24
41, 0.57
42, 0.28
43, 0.53
44, 0.39
45, 0.22
46, 0.33
47, 0.33
48, 0.74
49, 0.46
50, 0.25
51, 0.32
52, 0.79
53, 0.09
54, 0.22
55, 0.13
56, 0.20
57, 0.35
58, 0.43
59, 0.34
60, 0.22
61, 0.18
62, 0.34
63, 0.35
64, 0.29
65, 0.21
66, 0.45
67, 0.44
68, 0.12
69, 0.55
70, 0.07
71, 0.37
72, 0.28
73, 0.36
74, 0.74
75, 0.36
76, 0.30
77, 0.37
78, 0.44
79, 0.35
80, 0.10
81, 0.59
82, 0.34
83, 0.42
84, 0.40
85, 0.41
86, 0.48
87, 0.55
88, 0.32
89, 0.16
90, 0.29
91, 0.29
92, 0.43
93, 0.49
94, 0.26
95, 0.34
96, 0.12
97, 0.24
98, 0.35
99, 0.20
100, 0.53
101, 0.37
102, 0.18
103, 0.30
104, 0.07
105, 0.31
106, 0.25
107, 0.56
108, 0.32
109, 0.15
110, 0.31
111, 0.33
112, 0.87
113, 0.15
114, 0.43
115, 0.20
116, 0.23
117, 0.49
118, 0.38
119, 0.33
120, 0.43
121, 0.40
122, 0.23
123, 0.28
124, 0.13
125, 0.46
126, 0.67
127, 0.53
128, 0.46
129, 0.70
130, 0.09
131, 0.16
132, 0.33
133, 0.31
134, 0.53
135, 0.45
136, 0.34
137, 0.80
138, 0.06
139, 0.38
140, 0.38
141, 0.14
142, 0.70
143, 0.16
144, 0.47
145, 0.33
146, 0.36
147, 0.33
148, 0.22
149, 0.18
150, 0.31
151, 0.87
152, 0.15
153, 0.52
154, 0.33
155, 0.25
156, 0.27
157, 0.24
158, 0.39
159, 0.55
160, 0.73
161, 0.25
162, 0.33
163, 0.40
164, 0.81
165, 0.23
166, 0.38
167, 0.21
168, 0.29
169, 0.20
170, 0.46
171, 0.46
172, 0.37
173, 0.39
174, 0.42
175, 0.11
176, 0.81
177, 0.21
178, 0.31
179, 0.29
180, 0.78
181, 0.20
182, 0.51
183, 0.26
184, 0.26
185, 0.33
186, 0.55
187, 0.29
188, 0.30
189, 0.20
190, 0.29
191, 0.40
192, 0.18
193, 0.58
194, 0.30
195, 0.41
196, 0.25
197, 0.35
198, 0.47
199, 0.57
200, 0.18
201, 0.44
202, 0.15
203, 0.58
204, 0.33
205, 0.17
206, 0.23
207, 0.16
208, 0.18
209, 0.34
210, 0.69
211, 0.25
212, 0.61
213, 0.06
214, 0.27
215, 0.16
216, 0.64
217, 0.48
218, 0.49
219, 0.68
220, 0.50
221, 0.24
222, 0.50
223, 0.49
224, 0.49
225, 0.33
226, 0.80
227, 0.59
228, 0.32
229, 0.16
230, 0.50
231, 0.72
232, 0.33
233, 0.20
234, 0.16
235, 0.30
236, 0.27
237, 0.04
238, 0.22
239, 0.29
240, 0.16
241, 0.16
242, 0.54
243, 0.61
244, 0.13
245, 0.53
246, 0.58
247, 0.30
248, 0.36
249, 0.44
250, 0.42
251, 0.86
252, 0.32
253, 0.10
254, 0.21
255, 0.33
256, 0.75
257, 0.23
258, 0.48
259, 0.86
260, 0.36
261, 0.18
262, 0.29
263, 0.36
264, 0.31
265, 0.07
266, 0.28
267, 0.11
268, 0.39
269, 0.03
270, 0.13
271, 0.28
272, 0.28
273, 0.30
274, 0.29
275, 0.24
276, 0.22
277, 0.38
278, 0.27
279, 0.33
280, 0.25
281, 0.38
282, 0.35
283, 0.23
284, 0.35
285, 0.42
286, 0.24
287, 0.20
288, 0.06
289, 0.25
290, 0.61
291, 0.31
292, 0.35
293, 0.20
294, 0.38
295, 0.41
296, 0.34
297, 0.46
298, 0.65
299, 0.30
300, 0.15
301, 0.17
302, 0.39
303, 0.42
304, 0.18
305, 0.02
306, 0.26
307, 0.19
308, 0.09
309, 0.36
310, 0.27
311, 0.30
312, 0.24
313, 0.35
314, 0.73
315, 0.58
316, 0.21
317, 0.25
318, 0.34
319, 0.56
320, 0.55
321, 0.28
322, 0.09
323, 0.31
324, 0.12
325, 0.24
326, 0.30
327, 0.31
328, 0.15
329, 0.33
330, 0.67
331, 0.30
332, 0.44
333, 0.31
334, 0.47
335, 0.29
336, 0.26
337, 0.25
338, 0.28
339, 0.31
340, 0.58
341, 0.28
342, 0.31
343, 0.31
344, 0.08
345, 0.24
346, 0.22
347, 0.24
348, 0.06
349, 0.04
350, 0.38
351, 0.26
352, 0.32
353, 0.26
354, 0.21
355, 0.24
356, 0.42
357, 0.47
358, 0.48
359, 0.17
360, 0.23
361, 0.46
362, 0.26
363, 0.26
364, 0.04
365, 0.59
366, 0.43
367, 0.37
368, 0.38
369, 0.52
370, 0.33
371, 0.27
372, 0.49
373, 0.39
374, 0.42
375, 0.35
376, 0.63
377, 0.35
378, 0.15
379, 0.27
380, 0.73
381, 0.18
382, 0.26
383, 0.28
384, 0.55
385, 0.35
386, 0.28
387, 0.32
388, 0.13
389, 0.44
390, 0.26
391, 0.24
392, 0.40
393, 0.57
394, 0.40
395, 0.21
396, 0.36
397, 0.22
398, 0.40
399, 0.23
400, 0.27
401, 0.47
402, 0.62
403, 0.30
404, 0.45
405, 0.37
406, 0.34
407, 0.34
408, 0.19
409, 0.58
410, 0.28
411, 0.41
412, 0.36
413, 0.51
414, 0.27
415, 0.32
416, 0.16
417, 0.50
418, 0.14
419, 0.31
420, 0.46
421, 0.73
422, 0.26
423, 0.24
424, 0.29
425, 0.31
426, 0.35
427, 0.18
428, 0.39
429, 0.77
430, 0.09
431, 0.57
432, 0.29
433, 0.50
434, 0.11
435, 0.06
436, 0.54
437, 0.37
438, 0.57
439, 0.33
440, 0.22
441, 0.30
442, 0.40
443, 0.40
444, 0.30
445, 0.21
446, 0.34
447, 0.18
448, 0.08
449, 0.20
450, 0.87
451, 0.15
452, 0.22
453, 0.70
454, 0.37
455, 0.72
456, 0.28
457, 0.32
458, 0.15
459, 0.25
460, 0.26
461, 0.26
462, 0.14
463, 0.62
464, 0.14
465, 0.28
466, 0.63
467, 0.44
468, 0.28
469, 0.28
470, 0.30
471, 0.17
472, 0.32
473, 0.44
474, 0.28
475, 0.11
476, 0.19
477, 0.14
478, 0.17
479, 0.20
480, 0.24
481, 0.09
482, 0.10
483, 0.43
484, 0.75
485, 0.56
486, 0.34
487, 0.43
488, 0.40
489, 0.27
490, 0.17
491, 0.47
492, 0.25
493, 0.32
494, 0.25
495, 0.39
496, 0.37
497, 0.34
498, 0.73
499, 0.27
500, 0.25
501, 0.33
502, 0.85
503, 0.14
504, 0.30
505, 0.47
506, 0.31
507, 0.51
508, 0.27
509, 0.19
510, 0.20
511, 0.27
512, 0.22
513, 0.73
514, 0.20
515, 0.49
516, 0.37
517, 0.58
518, 0.87
519, 0.32
520, 0.29
521, 0.87
522, 0.33
523, 0.34
524, 0.25
525, 0.68
526, 0.72
527, 0.40
528, 0.20
529, 0.09
530, 0.21
531, 0.07
532, 0.21
533, 0.31
534, 0.37
535, 0.26
536, 0.58
537, 0.19
538, 0.32
539, 0.45
540, 0.20
541, 0.33
542, 0.23
543, 0.59
544, 0.28
545, 0.85
546, 0.34
547, 0.23
548, 0.14
549, 0.53
550, 0.11
551, 0.28
552, 0.31
553, 0.32
554, 0.22
555, 0.30
556, 0.43
557, 0.62
558, 0.26
559, 0.87
560, 0.30
561, 0.17
562, 0.17
563, 0.25
564, 0.31
565, 0.18
566, 0.35
567, 0.28
568, 0.36
569, 0.78
570, 0.12
571, 0.51
572, 0.09
573, 0.27
574, 0.80
575, 0.38
576, 0.32
577, 0.15
578, 0.18
579, 0.13
580, 0.36
581, 0.43
582, 0.30
583, 0.30
584, 0.09
585, 0.13
586, 0.12
587, 0.26
588, 0.48
589, 0.38
590, 0.87
591, 0.27
592, 0.42
593, 0.41
594, 0.41
595, 0.17
596, 0.16
597, 0.43
598, 0.13
599, 0.55
600, 0.43
601, 0.42
602, 0.26
603, 0.35
604, 0.28
605, 0.39
606, 0.38
607, 0.15
608, 0.37
609, 0.40
610, 0.35
611, 0.38
612, 0.41
613, 0.17
614, 0.42
615, 0.56
616, 0.66
617, 0.36
618, 0.85
619, 0.11
620, 0.30
621, 0.20
622, 0.61
623, 0.47
624, 0.15
625, 0.42
626, 0.03
627, 0.42
628, 0.39
629, 0.40
630, 0.20
631, 0.19
632, 0.48
633, 0.44
634, 0.54
635, 0.52
636, 0.68
637, 0.51
638, 0.12
639, 0.35
640, 0.01
641, 0.26
642, 0.33
643, 0.21
644, 0.32
645, 0.60
646, 0.34
647, 0.26
648, 0.16
649, 0.39
650, 0.45
651, 0.20
652, 0.39
653, 0.33
654, 0.50
655, 0.51
656, 0.47
657, 0.51
658, 0.00
659, 0.50
660, 0.53
661, 0.19
662, 0.33
663, 0.09
664, 0.49
665, 0.20
666, 0.37
667, 0.22
668, 0.32
669, 0.35
670, 0.27
671, 0.35
672, 0.39
673, 0.41
674, 0.13
675, 0.19
676, 0.40
677, 0.14
678, 0.21
679, 0.73
680, 0.39
681, 0.52
682, 0.31
683, 0.17
684, 0.15
685, 0.47
686, 0.05
687, 0.15
688, 0.37
689, 0.25
690, 0.20
691, 0.68
692, 0.33
693, 0.26
694, 0.36
695, 0.26
696, 0.25
697, 0.11
698, 0.87
699, 0.18
700, 0.34
701, 0.43
702, 0.64
