ID,Prob1
0, 0.58
1, 0.41
2, 0.17
3, 0.06
4, 0.19
5, 0.20
6, 0.27
7, 0.28
8, 0.13
9, 0.31
10, 0.29
11, 0.24
12, 0.20
13, 0.61
14, 0.27
15, 0.42
16, 0.20
17, 0.71
18, 0.11
19, 0.22
20, 0.45
21, 0.27
22, 0.21
23, 0.28
24, 0.20
25, 0.46
26, 0.37
27, 0.19
28, 0.25
29, 0.25
30, 0.26
31, 0.28
32, 0.33
33, 0.35
34, 0.50
35, 0.29
36, 0.25
37, 0.23
38, 0.50
39, 0.30
40, 0.20
41, 0.49
42, 0.22
43, 0.34
44, 0.37
45, 0.32
46, 0.49
47, 0.36
48, 0.49
49, 0.41
50, 0.27
51, 0.29
52, 0.62
53, 0.16
54, 0.27
55, 0.22
56, 0.13
57, 0.34
58, 0.43
59, 0.23
60, 0.17
61, 0.20
62, 0.38
63, 0.36
64, 0.24
65, 0.21
66, 0.46
67, 0.32
68, 0.20
69, 0.61
70, 0.27
71, 0.27
72, 0.26
73, 0.27
74, 0.61
75, 0.29
76, 0.27
77, 0.38
78, 0.44
79, 0.20
80, 0.22
81, 0.58
82, 0.39
83, 0.38
84, 0.30
85, 0.30
86, 0.47
87, 0.50
88, 0.27
89, 0.14
90, 0.25
91, 0.21
92, 0.38
93, 0.61
94, 0.26
95, 0.28
96, 0.09
97, 0.28
98, 0.37
99, 0.17
100, 0.62
101, 0.35
102, 0.21
103, 0.35
104, 0.21
105, 0.32
106, 0.21
107, 0.61
108, 0.43
109, 0.23
110, 0.27
111, 0.38
112, 0.87
113, 0.18
114, 0.31
115, 0.22
116, 0.28
117, 0.48
118, 0.30
119, 0.30
120, 0.53
121, 0.36
122, 0.21
123, 0.45
124, 0.14
125, 0.42
126, 0.51
127, 0.54
128, 0.51
129, 0.76
130, 0.09
131, 0.24
132, 0.28
133, 0.38
134, 0.42
135, 0.48
136, 0.25
137, 0.67
138, 0.08
139, 0.48
140, 0.32
141, 0.22
142, 0.82
143, 0.13
144, 0.49
145, 0.26
146, 0.48
147, 0.40
148, 0.16
149, 0.18
150, 0.49
151, 0.77
152, 0.30
153, 0.36
154, 0.29
155, 0.20
156, 0.29
157, 0.30
158, 0.31
159, 0.52
160, 0.51
161, 0.24
