ID,Prob1
0, 0.61
1, 0.24
2, 0.23
3, 0.10
4, 0.12
5, 0.21
6, 0.46
7, 0.55
8, 0.12
9, 0.29
10, 0.43
11, 0.47
12, 0.32
13, 0.65
14, 0.41
15, 0.49
16, 0.17
17, 0.94
18, 0.15
19, 0.49
20, 0.67
21, 0.68
22, 0.10
23, 0.56
24, 0.35
25, 0.44
26, 0.31
27, 0.41
28, 0.32
29, 0.37
30, 0.59
31, 0.17
32, 0.30
33, 0.29
34, 0.68
35, 0.29
36, 0.37
37, 0.28
38, 0.19
39, 0.44
40, 0.11
41, 0.41
42, 0.31
43, 0.24
44, 0.40
45, 0.31
46, 0.33
47, 0.41
48, 0.55
49, 0.73
50, 0.47
51, 0.56
52, 0.62
53, 0.10
54, 0.54
55, 0.40
56, 0.11
57, 0.44
58, 0.56
59, 0.12
60, 0.32
61, 0.26
62, 0.32
63, 0.36
64, 0.20
65, 0.11
66, 0.50
67, 0.32
68, 0.19
69, 0.66
70, 0.17
71, 0.23
72, 0.37
73, 0.59
74, 0.88
75, 0.28
76, 0.20
77, 0.32
78, 0.28
79, 0.15
80, 0.45
81, 0.45
82, 0.33
83, 0.23
84, 0.28
85, 0.17
86, 0.86
87, 0.56
88, 0.39
89, 0.11
90, 0.18
91, 0.17
92, 0.55
93, 0.83
94, 0.54
95, 0.38
96, 0.01
97, 0.26
98, 0.23
99, 0.20
100, 0.82
101, 0.37
102, 0.15
103, 0.42
104, 0.12
105, 0.71
106, 0.44
107, 0.81
108, 0.63
109, 0.14
110, 0.17
111, 0.62
112, 0.98
113, 0.36
114, 0.41
115, 0.23
116, 0.13
117, 0.42
118, 0.19
119, 0.50
120, 0.60
121, 0.59
122, 0.48
123, 0.35
124, 0.16
125, 0.21
126, 0.32
127, 0.65
128, 0.59
129, 0.77
130, 0.15
131, 0.17
132, 0.44
133, 0.46
134, 0.83
135, 0.73
136, 0.55
137, 0.93
138, 0.17
139, 0.36
140, 0.14
141, 0.24
142, 0.77
143, 0.11
144, 0.74
145, 0.45
146, 0.46
147, 0.40
148, 0.26
149, 0.27
150, 0.56
151, 0.64
152, 0.24
153, 0.57
154, 0.16
155, 0.20
156, 0.44
157, 0.58
158, 0.10
159, 0.77
160, 0.75
161, 0.17
162, 0.23
163, 0.33
164, 0.88
165, 0.40
166, 0.32
167, 0.48
168, 0.23
169, 0.14
170, 0.52
171, 0.61
172, 0.29
173, 0.27
174, 0.35
175, 0.40
176, 0.77
177, 0.11
178, 0.32
179, 0.46
180, 0.60
181, 0.11
182, 0.26
183, 0.26
184, 0.52
185, 0.39
186, 0.46
187, 0.46
188, 0.48
189, 0.19
190, 0.19
191, 0.57
192, 0.47
193, 0.78
194, 0.49
195, 0.29
196, 0.56
197, 0.22
198, 0.76
199, 0.76
200, 0.35
201, 0.61
202, 0.25
203, 0.37
204, 0.18
205, 0.14
206, 0.46
207, 0.18
208, 0.17
209, 0.14
210, 0.71
211, 0.39
