ID,Prob1
0, 0.71
1, 0.37
2, 0.16
3, 0.07
4, 0.30
5, 0.18
6, 0.27
7, 0.34
8, 0.16
9, 0.32
10, 0.39
11, 0.27
12, 0.36
13, 0.63
14, 0.25
15, 0.43
16, 0.18
17, 0.88
18, 0.11
19, 0.34
20, 0.50
21, 0.42
22, 0.17
23, 0.34
24, 0.22
25, 0.58
26, 0.50
27, 0.24
28, 0.24
29, 0.26
30, 0.41
31, 0.32
32, 0.47
33, 0.24
34, 0.43
35, 0.40
36, 0.30
37, 0.23
38, 0.38
39, 0.34
40, 0.15
41, 0.63
42, 0.32
43, 0.32
44, 0.49
45, 0.13
46, 0.25
47, 0.24
48, 0.71
49, 0.41
50, 0.29
51, 0.20
52, 0.83
53, 0.14
54, 0.18
55, 0.17
56, 0.14
57, 0.37
58, 0.37
59, 0.22
60, 0.19
61, 0.18
62, 0.39
63, 0.50
64, 0.22
65, 0.11
66, 0.43
67, 0.32
68, 0.08
69, 0.66
70, 0.04
71, 0.42
72, 0.31
73, 0.36
74, 0.69
75, 0.46
76, 0.25
77, 0.35
78, 0.36
79, 0.24
80, 0.16
81, 0.64
82, 0.47
83, 0.35
84, 0.40
85, 0.30
86, 0.56
87, 0.66
88, 0.29
89, 0.14
90, 0.20
91, 0.20
92, 0.67
93, 0.65
94, 0.39
95, 0.28
96, 0.07
97, 0.22
98, 0.39
99, 0.16
100, 0.56
101, 0.46
102, 0.17
103, 0.35
104, 0.06
105, 0.35
106, 0.37
107, 0.61
108, 0.32
109, 0.18
110, 0.19
111, 0.54
112, 0.93
113, 0.17
114, 0.38
115, 0.27
116, 0.14
117, 0.41
118, 0.20
119, 0.29
120, 0.43
121, 0.30
122, 0.21
123, 0.42
124, 0.14
125, 0.33
126, 0.57
127, 0.46
128, 0.62
129, 0.76
130, 0.15
131, 0.18
132, 0.43
133, 0.36
134, 0.54
135, 0.74
136, 0.29
137, 0.82
138, 0.07
139, 0.49
140, 0.30
141, 0.15
142, 0.78
143, 0.08
144, 0.49
145, 0.23
146, 0.54
147, 0.26
148, 0.27
149, 0.16
150, 0.44
151, 0.69
152, 0.19
153, 0.65
154, 0.25
155, 0.26
156, 0.33
157, 0.27
158, 0.37
159, 0.54
160, 0.43
161, 0.31
162, 0.28
163, 0.33
164, 0.90
165, 0.23
166, 0.36
167, 0.40
168, 0.34
169, 0.20
170, 0.43
171, 0.39
172, 0.29
173, 0.31
174, 0.37
175, 0.21
176, 0.64
177, 0.22
178, 0.32
179, 0.45
180, 0.69
181, 0.09
182, 0.40
183, 0.28
184, 0.22
185, 0.30
186, 0.41
187, 0.31
188, 0.41
189, 0.19
190, 0.19
191, 0.42
192, 0.36
193, 0.52
194, 0.40
195, 0.30
196, 0.47
197, 0.23
198, 0.50
199, 0.58
200, 0.13
201, 0.45
202, 0.13
203, 0.38
204, 0.33
205, 0.11
206, 0.18
207, 0.10
208, 0.26
209, 0.36
210, 0.76
211, 0.28
212, 0.68
213, 0.12
214, 0.32
215, 0.12
216, 0.62
217, 0.56
218, 0.35
219, 0.62
220, 0.59
221, 0.26
222, 0.60
223, 0.42
224, 0.65
225, 0.31
226, 0.90
227, 0.50
228, 0.36
229, 0.12
230, 0.62
231, 0.81
232, 0.17
233, 0.09
234, 0.18
235, 0.29
236, 0.21
237, 0.06
238, 0.29
239, 0.20
240, 0.16
241, 0.12
242, 0.39
243, 0.65
244, 0.10
245, 0.52
246, 0.61
247, 0.43
248, 0.43
249, 0.44
250, 0.53
251, 0.84
252, 0.28
253, 0.11
254, 0.27
255, 0.37
256, 0.84
257, 0.18
258, 0.40
259, 0.77
260, 0.24
261, 0.13
262, 0.17
263, 0.30
264, 0.34
265, 0.12
266, 0.21
267, 0.33
268, 0.50
269, 0.10
270, 0.08
271, 0.41
272, 0.27
273, 0.23
274, 0.34
275, 0.50
276, 0.25
277, 0.40
278, 0.38
279, 0.47
280, 0.35
281, 0.37
282, 0.25
283, 0.35
284, 0.41
285, 0.50
286, 0.20
287, 0.19
288, 0.09
289, 0.22
290, 0.73
291, 0.35
292, 0.39
293, 0.14
294, 0.37
295, 0.47
296, 0.19
297, 0.40
298, 0.68
299, 0.38
300, 0.27
301, 0.12
302, 0.60
303, 0.52
304, 0.17
305, 0.04
306, 0.15
307, 0.14
308, 0.16
309, 0.46
310, 0.22
311, 0.28
312, 0.26
313, 0.26
314, 0.82
315, 0.51
316, 0.35
317, 0.17
318, 0.32
319, 0.51
320, 0.28
321, 0.36
322, 0.15
323, 0.50
324, 0.20
325, 0.30
326, 0.35
327, 0.31
328, 0.17
329, 0.52
330, 0.77
331, 0.15
332, 0.45
333, 0.22
334, 0.41
335, 0.25
336, 0.24
337, 0.31
338, 0.23
339, 0.19
340, 0.57
341, 0.23
342, 0.21
343, 0.35
344, 0.09
345, 0.25
346, 0.20
347, 0.23
348, 0.09
349, 0.03
350, 0.19
351, 0.28
352, 0.28
353, 0.30
354, 0.18
355, 0.20
356, 0.27
357, 0.37
358, 0.47
359, 0.14
360, 0.31
361, 0.31
362, 0.34
363, 0.21
364, 0.07
365, 0.60
366, 0.27
367, 0.39
368, 0.46
369, 0.49
370, 0.45
371, 0.20
372, 0.66
373, 0.43
374, 0.42
375, 0.45
376, 0.63
377, 0.30
378, 0.38
379, 0.13
380, 0.77
381, 0.24
382, 0.19
383, 0.27
384, 0.55
385, 0.27
386, 0.27
387, 0.39
388, 0.18
389, 0.65
390, 0.40
391, 0.18
392, 0.27
393, 0.49
394, 0.44
395, 0.17
396, 0.28
397, 0.12
398, 0.31
399, 0.23
400, 0.19
401, 0.53
402, 0.39
403, 0.21
404, 0.29
405, 0.26
406, 0.32
407, 0.22
408, 0.27
409, 0.43
410, 0.22
411, 0.46
412, 0.34
413, 0.62
414, 0.23
415, 0.18
416, 0.15
417, 0.57
418, 0.11
419, 0.28
420, 0.63
421, 0.66
422, 0.32
423, 0.27
424, 0.44
425, 0.30
426, 0.29
427, 0.34
428, 0.21
429, 0.70
430, 0.25
431, 0.66
432, 0.31
433, 0.61
434, 0.18
435, 0.05
436, 0.51
437, 0.32
438, 0.38
439, 0.37
440, 0.22
441, 0.20
442, 0.48
443, 0.32
444, 0.38
445, 0.28
446, 0.37
447, 0.15
448, 0.07
449, 0.27
450, 0.91
451, 0.10
452, 0.27
453, 0.70
454, 0.35
455, 0.81
456, 0.56
457, 0.34
458, 0.17
459, 0.31
460, 0.23
461, 0.24
462, 0.13
463, 0.68
464, 0.14
465, 0.26
466, 0.76
467, 0.34
468, 0.28
469, 0.41
470, 0.45
471, 0.16
472, 0.36
473, 0.36
474, 0.23
475, 0.33
476, 0.15
477, 0.14
478, 0.23
479, 0.33
480, 0.28
481, 0.06
482, 0.06
483, 0.39
484, 0.78
485, 0.55
486, 0.21
487, 0.40
488, 0.37
489, 0.17
490, 0.25
491, 0.39
492, 0.16
493, 0.23
494, 0.15
495, 0.36
496, 0.47
497, 0.33
498, 0.85
499, 0.29
500, 0.31
501, 0.21
502, 0.92
503, 0.25
504, 0.24
505, 0.64
506, 0.20
507, 0.61
508, 0.26
509, 0.29
510, 0.32
511, 0.34
512, 0.16
513, 0.83
514, 0.29
515, 0.33
516, 0.27
517, 0.62
518, 0.80
519, 0.18
520, 0.30
521, 0.79
522, 0.32
523, 0.46
524, 0.36
525, 0.49
526, 0.77
527, 0.41
528, 0.20
529, 0.12
530, 0.31
531, 0.08
532, 0.15
533, 0.33
534, 0.46
535, 0.33
536, 0.44
537, 0.20
538, 0.18
539, 0.57
540, 0.38
541, 0.30
542, 0.25
543, 0.54
544, 0.25
545, 0.78
546, 0.27
547, 0.21
548, 0.17
549, 0.35
550, 0.16
551, 0.26
552, 0.22
553, 0.42
554, 0.21
555, 0.30
556, 0.41
557, 0.56
558, 0.31
559, 0.81
560, 0.17
561, 0.25
562, 0.32
563, 0.20
564, 0.62
565, 0.25
566, 0.31
567, 0.30
568, 0.38
569, 0.67
570, 0.17
571, 0.65
572, 0.06
573, 0.38
574, 0.64
575, 0.50
576, 0.41
577, 0.09
578, 0.16
579, 0.25
580, 0.45
581, 0.43
582, 0.26
583, 0.23
584, 0.29
585, 0.17
586, 0.06
587, 0.20
588, 0.64
589, 0.56
590, 0.85
591, 0.25
592, 0.39
593, 0.52
594, 0.54
595, 0.10
596, 0.25
597, 0.36
598, 0.18
599, 0.53
600, 0.54
601, 0.54
602, 0.19
603, 0.36
604, 0.29
605, 0.27
606, 0.23
607, 0.21
608, 0.33
609, 0.49
610, 0.38
611, 0.30
612, 0.35
613, 0.38
614, 0.40
615, 0.50
616, 0.56
617, 0.35
618, 0.86
619, 0.09
620, 0.22
621, 0.17
622, 0.77
623, 0.41
624, 0.21
625, 0.34
626, 0.05
627, 0.37
628, 0.27
629, 0.46
630, 0.18
631, 0.19
632, 0.65
633, 0.53
634, 0.52
635, 0.48
636, 0.70
637, 0.49
638, 0.07
639, 0.42
640, 0.11
641, 0.37
642, 0.30
643, 0.20
644, 0.24
645, 0.57
646, 0.31
647, 0.24
648, 0.10
649, 0.37
650, 0.53
651, 0.13
652, 0.48
653, 0.22
654, 0.47
655, 0.34
656, 0.33
657, 0.42
658, 0.04
659, 0.50
660, 0.59
661, 0.16
662, 0.37
663, 0.05
664, 0.53
665, 0.29
666, 0.43
667, 0.17
668, 0.28
669, 0.35
670, 0.23
671, 0.37
672, 0.32
673, 0.57
674, 0.23
675, 0.32
676, 0.63
677, 0.18
678, 0.13
679, 0.58
680, 0.27
681, 0.41
682, 0.26
683, 0.31
684, 0.14
685, 0.37
686, 0.08
687, 0.09
688, 0.30
689, 0.15
690, 0.15
691, 0.64
692, 0.26
693, 0.17
694, 0.40
695, 0.22
696, 0.15
697, 0.19
698, 0.88
699, 0.13
700, 0.37
701, 0.33
702, 0.63
703, 0.47
704, 0.57
705, 0.58
706, 0.40
707, 0.24
708, 0.49
709, 0.33
710, 0.57
711, 0.29
712, 0.15
713, 0.22
714, 0.13
715, 0.26
716, 0.67
717, 0.63
718, 0.67
719, 0.77
720, 0.54
721, 0.22
722, 0.27
723, 0.29
