ID,Prob1
0, 0.87
1, 0.32
2, 0.18
3, 0.04
4, 0.27
5, 0.08
6, 0.22
7, 0.49
8, 0.02
9, 0.10
10, 0.38
11, 0.15
12, 0.21
13, 0.29
14, 0.32
15, 0.33
16, 0.20
17, 0.80
18, 0.16
19, 0.27
20, 0.53
21, 0.57
22, 0.15
23, 0.33
24, 0.14
25, 0.69
26, 0.51
27, 0.14
28, 0.11
29, 0.32
30, 0.42
31, 0.55
32, 0.19
33, 0.21
34, 0.30
35, 0.32
36, 0.26
37, 0.23
38, 0.46
39, 0.31
40, 0.05
41, 0.60
42, 0.31
43, 0.28
44, 0.50
45, 0.08
46, 0.36
47, 0.33
48, 0.82
49, 0.40
50, 0.29
51, 0.16
52, 0.83
53, 0.07
54, 0.17
55, 0.20
56, 0.07
57, 0.46
58, 0.49
59, 0.11
60, 0.15
61, 0.24
62, 0.32
63, 0.61
64, 0.16
65, 0.17
66, 0.41
67, 0.34
68, 0.18
69, 0.64
70, 0.08
71, 0.24
72, 0.20
73, 0.27
74, 0.89
75, 0.39
76, 0.27
77, 0.24
78, 0.44
79, 0.16
80, 0.12
81, 0.71
82, 0.39
83, 0.38
84, 0.38
85, 0.27
86, 0.78
87, 0.31
88, 0.39
89, 0.11
90, 0.21
91, 0.18
92, 0.87
93, 0.76
94, 0.50
95, 0.25
96, 0.03
97, 0.17
98, 0.46
99, 0.19
100, 0.74
101, 0.69
102, 0.23
103, 0.69
104, 0.07
105, 0.29
106, 0.44
107, 0.78
108, 0.39
109, 0.38
110, 0.14
111, 0.53
112, 0.95
113, 0.39
114, 0.22
115, 0.21
116, 0.04
117, 0.31
118, 0.28
119, 0.41
120, 0.69
121, 0.45
122, 0.29
123, 0.39
124, 0.08
125, 0.16
126, 0.27
127, 0.48
128, 0.69
129, 0.89
130, 0.32
131, 0.17
132, 0.32
133, 0.47
134, 0.69
135, 0.90
136, 0.27
137, 0.71
138, 0.03
139, 0.48
140, 0.20
141, 0.21
142, 0.75
143, 0.15
144, 0.33
145, 0.16
146, 0.64
147, 0.34
148, 0.16
149, 0.12
150, 0.72
151, 0.40
152, 0.25
153, 0.65
154, 0.18
155, 0.20
156, 0.39
157, 0.21
158, 0.34
159, 0.62
160, 0.43
161, 0.28
162, 0.30
163, 0.24
164, 0.93
165, 0.27
166, 0.25
167, 0.48
168, 0.71
169, 0.11
170, 0.44
171, 0.41
172, 0.19
173, 0.19
174, 0.33
175, 0.21
176, 0.46
177, 0.17
178, 0.32
179, 0.69
180, 0.76
181, 0.02
182, 0.25
183, 0.37
184, 0.18
185, 0.23
186, 0.58
187, 0.51
188, 0.36
189, 0.25
190, 0.13
191, 0.29
192, 0.49
193, 0.54
194, 0.41
195, 0.32
196, 0.61
197, 0.20
198, 0.56
199, 0.45
200, 0.16
201, 0.57
202, 0.13
203, 0.36
204, 0.18
205, 0.10
206, 0.30
207, 0.02
208, 0.38
209, 0.39
210, 0.71
211, 0.26
212, 0.42
213, 0.13
214, 0.40
215, 0.09
216, 0.71
217, 0.46
218, 0.44
219, 0.67
220, 0.57
221, 0.24
222, 0.74
223, 0.48
224, 0.74
225, 0.45
226, 0.90
227, 0.65
228, 0.36
229, 0.05
230, 0.70
231, 0.77
232, 0.05
233, 0.02
234, 0.17
235, 0.24
236, 0.13
237, 0.08
238, 0.43
239, 0.24
240, 0.15
241, 0.09
242, 0.35
243, 0.80
244, 0.18
245, 0.55
246, 0.60
247, 0.38
248, 0.41
249, 0.41
250, 0.50
251, 0.76
252, 0.23
253, 0.15
254, 0.42
255, 0.71
256, 0.96
257, 0.17
258, 0.39
259, 0.66
260, 0.23
261, 0.25
262, 0.12
263, 0.17
264, 0.21
265, 0.09
266, 0.06
267, 0.34
268, 0.49
269, 0.11
270, 0.07
271, 0.55
272, 0.36
273, 0.28
274, 0.55
275, 0.64
276, 0.31
277, 0.49
278, 0.43
279, 0.56
280, 0.22
281, 0.29
282, 0.27
283, 0.48
284, 0.42
285, 0.60
286, 0.14
287, 0.15
288, 0.08
289, 0.30
290, 0.75
291, 0.17
292, 0.43
293, 0.19
294, 0.26
295, 0.64
296, 0.11
297, 0.29
298, 0.70
299, 0.62
300, 0.29
301, 0.22
302, 0.51
303, 0.48
304, 0.18
305, 0.11
306, 0.05
307, 0.10
308, 0.25
309, 0.48
310, 0.08
311, 0.19
312, 0.14
313, 0.43
314, 0.80
315, 0.43
316, 0.48
317, 0.08
318, 0.30
319, 0.40
320, 0.33
321, 0.47
322, 0.09
323, 0.73
324, 0.30
325, 0.41
326, 0.66
327, 0.29
328, 0.23
329, 0.48
330, 0.82
331, 0.06
332, 0.58
333, 0.13
334, 0.34
335, 0.33
336, 0.28
337, 0.31
338, 0.19
339, 0.10
340, 0.73
341, 0.20
342, 0.33
343, 0.31
344, 0.06
345, 0.26
346, 0.09
347, 0.15
348, 0.18
349, 0.03
350, 0.08
351, 0.44
352, 0.26
353, 0.31
354, 0.16
355, 0.29
356, 0.23
357, 0.26
358, 0.42
359, 0.10
360, 0.32
361, 0.36
362, 0.34
363, 0.17
364, 0.09
365, 0.72
366, 0.36
367, 0.37
368, 0.49
369, 0.63
370, 0.39
371, 0.13
372, 0.73
373, 0.43
374, 0.48
375, 0.39
376, 0.56
377, 0.39
378, 0.34
379, 0.03
380, 0.84
381, 0.31
382, 0.12
383, 0.40
384, 0.44
385, 0.08
386, 0.30
387, 0.50
388, 0.26
389, 0.74
