ID,Prob1
0, 0.76
1, 0.43
2, 0.21
3, 0.03
4, 0.27
5, 0.15
6, 0.29
7, 0.42
8, 0.04
9, 0.17
10, 0.40
11, 0.17
12, 0.42
13, 0.56
14, 0.38
15, 0.46
16, 0.21
17, 0.83
18, 0.11
19, 0.30
20, 0.55
21, 0.59
22, 0.19
23, 0.34
24, 0.19
25, 0.73
26, 0.62
27, 0.21
28, 0.13
29, 0.29
30, 0.53
31, 0.36
32, 0.44
33, 0.23
34, 0.49
35, 0.40
36, 0.30
37, 0.22
38, 0.34
39, 0.37
40, 0.07
41, 0.64
42, 0.33
43, 0.26
44, 0.54
45, 0.10
46, 0.32
47, 0.27
48, 0.76
49, 0.52
50, 0.34
51, 0.13
52, 0.87
53, 0.15
54, 0.13
55, 0.23
56, 0.04
57, 0.44
58, 0.30
59, 0.07
60, 0.21
61, 0.20
62, 0.28
63, 0.58
64, 0.15
65, 0.08
66, 0.50
67, 0.26
68, 0.13
69, 0.62
70, 0.03
71, 0.20
72, 0.26
73, 0.51
74, 0.77
75, 0.43
76, 0.32
77, 0.30
78, 0.30
79, 0.17
80, 0.17
81, 0.67
82, 0.48
83, 0.37
84, 0.38
85, 0.41
86, 0.65
87, 0.74
88, 0.28
89, 0.08
90, 0.17
91, 0.11
92, 0.80
93, 0.74
94, 0.47
95, 0.30
96, 0.03
97, 0.25
98, 0.66
99, 0.19
100, 0.57
101, 0.46
102, 0.17
103, 0.61
104, 0.04
105, 0.26
106, 0.43
107, 0.77
108, 0.37
109, 0.18
110, 0.12
111, 0.42
112, 0.94
113, 0.23
114, 0.22
115, 0.29
116, 0.10
117, 0.29
118, 0.24
119, 0.23
120, 0.52
121, 0.34
122, 0.24
123, 0.41
124, 0.10
125, 0.44
126, 0.32
127, 0.50
128, 0.75
129, 0.83
130, 0.26
131, 0.14
132, 0.51
133, 0.47
134, 0.63
135, 0.94
136, 0.35
137, 0.76
138, 0.06
139, 0.52
140, 0.22
141, 0.23
142, 0.78
143, 0.07
144, 0.67
145, 0.14
146, 0.61
147, 0.38
148, 0.22
149, 0.10
150, 0.64
151, 0.53
152, 0.18
153, 0.57
154, 0.14
155, 0.15
156, 0.37
157, 0.28
158, 0.43
159, 0.58
160, 0.39
161, 0.22
162, 0.24
163, 0.44
164, 0.89
165, 0.26
166, 0.21
167, 0.59
168, 0.40
169, 0.10
170, 0.44
171, 0.42
172, 0.38
173, 0.21
174, 0.31
175, 0.27
176, 0.59
177, 0.17
178, 0.30
179, 0.69
180, 0.70
181, 0.03
182, 0.33
183, 0.33
184, 0.24
185, 0.21
186, 0.36
187, 0.40
188, 0.53
189, 0.23
190, 0.17
191, 0.34
192, 0.46
193, 0.55
194, 0.44
195, 0.36
196, 0.66
197, 0.13
198, 0.64
199, 0.65
200, 0.12
201, 0.61
202, 0.21
203, 0.24
204, 0.30
205, 0.08
206, 0.29
207, 0.02
208, 0.24
209, 0.30
210, 0.64
211, 0.32
212, 0.47
213, 0.17
214, 0.53
215, 0.07
216, 0.71
217, 0.52
218, 0.39
219, 0.65
220, 0.70
221, 0.22
222, 0.84
223, 0.43
224, 0.73
225, 0.37
226, 0.85
227, 0.38
228, 0.31
229, 0.08
230, 0.61
231, 0.89
232, 0.12
233, 0.03
234, 0.22
235, 0.34
236, 0.16
237, 0.07
238, 0.55
239, 0.15
240, 0.20
