ID,Prob1
0, 0.85
1, 0.46
2, 0.15
3, 0.03
4, 0.15
5, 0.11
6, 0.17
7, 0.58
8, 0.01
9, 0.12
10, 0.35
11, 0.10
12, 0.55
13, 0.51
14, 0.28
15, 0.36
16, 0.20
17, 0.86
18, 0.06
19, 0.35
20, 0.47
21, 0.48
22, 0.17
23, 0.24
24, 0.15
25, 0.77
26, 0.61
27, 0.15
28, 0.13
29, 0.29
30, 0.46
31, 0.39
32, 0.32
33, 0.18
34, 0.45
35, 0.33
36, 0.31
37, 0.16
38, 0.43
39, 0.23
40, 0.05
41, 0.59
42, 0.17
43, 0.28
44, 0.46
45, 0.09
46, 0.42
47, 0.26
48, 0.80
49, 0.45
50, 0.29
51, 0.11
52, 0.86
53, 0.07
54, 0.13
55, 0.31
56, 0.04
57, 0.43
58, 0.26
59, 0.07
60, 0.11
61, 0.20
62, 0.29
63, 0.64
64, 0.14
65, 0.07
66, 0.36
67, 0.17
68, 0.11
69, 0.62
70, 0.03
71, 0.16
72, 0.19
73, 0.31
74, 0.82
75, 0.30
76, 0.18
77, 0.21
78, 0.27
79, 0.09
80, 0.09
81, 0.64
82, 0.61
83, 0.33
84, 0.31
85, 0.29
86, 0.78
87, 0.59
88, 0.29
89, 0.11
90, 0.17
91, 0.11
92, 0.80
93, 0.80
94, 0.41
95, 0.31
96, 0.03
97, 0.20
98, 0.63
99, 0.13
100, 0.57
101, 0.59
102, 0.18
103, 0.74
104, 0.04
105, 0.27
106, 0.43
107, 0.82
108, 0.35
109, 0.18
110, 0.09
111, 0.41
112, 0.95
113, 0.28
114, 0.23
115, 0.23
116, 0.07
117, 0.31
118, 0.14
119, 0.19
120, 0.57
121, 0.37
122, 0.20
123, 0.42
124, 0.04
125, 0.42
126, 0.36
127, 0.40
128, 0.79
129, 0.88
130, 0.16
131, 0.10
132, 0.60
133, 0.48
134, 0.71
135, 0.94
136, 0.20
137, 0.87
138, 0.03
139, 0.62
140, 0.46
141, 0.23
142, 0.79
143, 0.06
144, 0.41
145, 0.14
146, 0.63
147, 0.34
148, 0.17
149, 0.08
150, 0.61
151, 0.53
152, 0.12
153, 0.66
154, 0.14
155, 0.11
156, 0.38
157, 0.20
158, 0.39
159, 0.61
