ID,Prob1
0, 0.87
1, 0.48
2, 0.14
3, 0.02
4, 0.11
5, 0.09
6, 0.14
7, 0.63
8, 0.01
9, 0.11
10, 0.33
11, 0.08
12, 0.60
13, 0.52
14, 0.25
15, 0.34
16, 0.20
17, 0.88
18, 0.04
19, 0.38
20, 0.47
21, 0.45
22, 0.17
23, 0.20
24, 0.12
25, 0.82
26, 0.67
27, 0.14
28, 0.11
29, 0.28
30, 0.45
31, 0.36
32, 0.32
33, 0.16
34, 0.48
35, 0.35
36, 0.31
37, 0.14
38, 0.42
39, 0.21
40, 0.05
41, 0.60
42, 0.14
43, 0.29
44, 0.42
45, 0.08
46, 0.44
47, 0.25
48, 0.82
49, 0.45
50, 0.30
51, 0.09
52, 0.88
53, 0.05
54, 0.11
55, 0.33
56, 0.03
57, 0.43
58, 0.20
59, 0.06
60, 0.09
61, 0.19
62, 0.25
63, 0.68
64, 0.12
65, 0.06
66, 0.34
67, 0.14
68, 0.10
69, 0.63
70, 0.02
71, 0.14
72, 0.17
73, 0.28
74, 0.84
75, 0.28
76, 0.17
77, 0.18
78, 0.23
79, 0.07
80, 0.07
81, 0.63
82, 0.64
83, 0.32
84, 0.29
85, 0.24
86, 0.80
87, 0.63
88, 0.28
89, 0.10
90, 0.17
91, 0.10
92, 0.79
93, 0.84
94, 0.38
95, 0.33
96, 0.02
97, 0.19
98, 0.68
99, 0.10
100, 0.56
101, 0.61
102, 0.17
103, 0.76
104, 0.03
105, 0.27
106, 0.43
107, 0.84
108, 0.36
109, 0.15
110, 0.07
111, 0.37
112, 0.96
113, 0.29
114, 0.21
115, 0.23
116, 0.05
117, 0.30
118, 0.11
119, 0.13
120, 0.55
121, 0.33
122, 0.16
123, 0.40
124, 0.03
125, 0.49
126, 0.37
127, 0.36
128, 0.81
129, 0.89
130, 0.13
131, 0.07
132, 0.66
133, 0.51
134, 0.72
135, 0.94
136, 0.14
137, 0.90
138, 0.02
139, 0.67
140, 0.53
141, 0.22
142, 0.81
143, 0.04
144, 0.42
145, 0.12
146, 0.65
147, 0.34
148, 0.15
149, 0.07
150, 0.60
151, 0.53
152, 0.11
153, 0.67
154, 0.12
155, 0.09
156, 0.36
157, 0.16
158, 0.40
159, 0.67
160, 0.39
161, 0.30
162, 0.19
163, 0.16
164, 0.96
165, 0.23
166, 0.16
167, 0.51
168, 0.32
169, 0.10
170, 0.55
171, 0.49
172, 0.29
173, 0.23
174, 0.33
175, 0.16
176, 0.44
177, 0.18
178, 0.33
179, 0.79
180, 0.66
181, 0.01
182, 0.10
183, 0.30
184, 0.17
185, 0.16
186, 0.41
187, 0.15
188, 0.61
189, 0.28
190, 0.11
191, 0.17
192, 0.44
193, 0.69
194, 0.41
195, 0.61
196, 0.77
197, 0.08
198, 0.78
199, 0.82
200, 0.07
201, 0.67
202, 0.10
203, 0.13
204, 0.30
205, 0.08
206, 0.21
207, 0.02
208, 0.30
209, 0.26
210, 0.83
211, 0.24
212, 0.48
213, 0.10
214, 0.55
215, 0.08
216, 0.83
217, 0.50
218, 0.41
219, 0.75
220, 0.81
221, 0.15
222, 0.87
223, 0.59
224, 0.80
225, 0.42
226, 0.94
227, 0.71
228, 0.24
229, 0.03
230, 0.67
231, 0.92
232, 0.07
233, 0.01
234, 0.20
235, 0.19
236, 0.09
237, 0.04
238, 0.56
239, 0.13
240, 0.23
241, 0.05
242, 0.23
243, 0.73
244, 0.05
245, 0.45
246, 0.59
247, 0.64
248, 0.54
249, 0.58
250, 0.49
251, 0.88
252, 0.17
253, 0.05
254, 0.29
255, 0.66
256, 0.96
257, 0.07
258, 0.17
259, 0.83
260, 0.17
261, 0.11
262, 0.09
263, 0.15
264, 0.13
265, 0.05
266, 0.07
267, 0.48
268, 0.38
269, 0.17
270, 0.06
271, 0.58
272, 0.23
273, 0.25
274, 0.27
275, 0.63
