ID,Prob1
0, 0.82
1, 0.53
2, 0.26
3, 0.02
4, 0.16
5, 0.11
6, 0.17
7, 0.52
8, 0.02
9, 0.11
10, 0.40
11, 0.12
12, 0.55
13, 0.51
14, 0.28
15, 0.40
16, 0.16
17, 0.84
18, 0.06
19, 0.33
20, 0.49
21, 0.48
22, 0.15
23, 0.33
24, 0.17
25, 0.70
26, 0.62
27, 0.17
28, 0.12
29, 0.31
30, 0.51
31, 0.39
32, 0.31
33, 0.23
34, 0.42
35, 0.34
36, 0.27
37, 0.15
38, 0.50
39, 0.24
40, 0.07
41, 0.54
42, 0.21
43, 0.17
44, 0.55
45, 0.12
46, 0.41
47, 0.26
48, 0.78
49, 0.47
50, 0.32
51, 0.12
52, 0.83
53, 0.07
54, 0.17
55, 0.24
56, 0.04
57, 0.43
58, 0.29
59, 0.09
60, 0.16
61, 0.17
62, 0.36
63, 0.61
64, 0.14
65, 0.10
66, 0.44
67, 0.27
68, 0.12
69, 0.64
70, 0.04
71, 0.18
72, 0.21
73, 0.40
74, 0.84
75, 0.39
76, 0.24
77, 0.28
78, 0.32
79, 0.11
80, 0.10
81, 0.64
82, 0.59
83, 0.34
84, 0.38
85, 0.41
86, 0.79
87, 0.60
88, 0.26
89, 0.11
90, 0.15
91, 0.23
92, 0.81
93, 0.80
94, 0.48
95, 0.24
96, 0.04
97, 0.21
98, 0.60
99, 0.11
100, 0.54
101, 0.70
102, 0.19
103, 0.69
104, 0.04
105, 0.21
106, 0.43
107, 0.82
108, 0.33
109, 0.29
110, 0.09
111, 0.52
112, 0.95
113, 0.27
114, 0.28
115, 0.15
116, 0.09
117, 0.27
118, 0.12
119, 0.19
120, 0.48
121, 0.46
122, 0.22
123, 0.44
124, 0.04
125, 0.36
126, 0.36
127, 0.45
128, 0.78
129, 0.85
130, 0.15
131, 0.10
132, 0.55
133, 0.54
134, 0.68
135, 0.91
136, 0.24
137, 0.89
138, 0.03
139, 0.66
140, 0.26
141, 0.20
142, 0.81
143, 0.05
144, 0.47
145, 0.18
146, 0.59
147, 0.37
148, 0.15
149, 0.07
150, 0.71
151, 0.54
152, 0.17
153, 0.58
154, 0.17
155, 0.15
156, 0.41
157, 0.20
158, 0.49
159, 0.59
160, 0.33
161, 0.22
162, 0.21
163, 0.26
164, 0.96
165, 0.29
166, 0.22
167, 0.58
168, 0.34
169, 0.12
170, 0.32
171, 0.42
172, 0.27
173, 0.24
174, 0.39
175, 0.20
176, 0.61
177, 0.23
178, 0.30
179, 0.68
180, 0.73
181, 0.01
182, 0.15
183, 0.33
184, 0.14
185, 0.16
186, 0.50
187, 0.23
188, 0.54
189, 0.22
190, 0.11
191, 0.17
192, 0.47
193, 0.49
194, 0.41
195, 0.49
196, 0.64
197, 0.11
198, 0.73
199, 0.70
200, 0.12
201, 0.64
202, 0.12
203, 0.21
204, 0.46
205, 0.08
206, 0.28
207, 0.03
208, 0.24
209, 0.24
210, 0.72
211, 0.21
212, 0.57
213, 0.11
214, 0.52
215, 0.10
216, 0.76
217, 0.50
218, 0.36
219, 0.63
220, 0.72
221, 0.20
222, 0.81
223, 0.52
224, 0.81
225, 0.38
226, 0.93
227, 0.72
228, 0.31
229, 0.04
230, 0.67
231, 0.85
232, 0.10
233, 0.01
234, 0.21
235, 0.29
236, 0.09
237, 0.05
238, 0.42
239, 0.16
240, 0.18
241, 0.07
242, 0.32
243, 0.77
244, 0.07
245, 0.65
246, 0.70
247, 0.66
248, 0.45
249, 0.52
250, 0.45
251, 0.86
252, 0.20
253, 0.06
254, 0.28
255, 0.55
256, 0.94
257, 0.12
258, 0.27
259, 0.76
260, 0.26
261, 0.10
262, 0.14
263, 0.20
264, 0.20
265, 0.06
266, 0.07
267, 0.38
268, 0.58
269, 0.12
270, 0.08
271, 0.43
272, 0.32
273, 0.25
274, 0.23
275, 0.67
276, 0.26
277, 0.47
278, 0.52
279, 0.46
280, 0.21
281, 0.36
282, 0.22
283, 0.45
284, 0.33
285, 0.67
286, 0.12
287, 0.14
288, 0.11
289, 0.29
290, 0.79
291, 0.34
292, 0.38
293, 0.11
294, 0.24
295, 0.61
296, 0.10
297, 0.22
298, 0.71
299, 0.55
300, 0.22
301, 0.17
302, 0.68
303, 0.57
304, 0.07
305, 0.05
306, 0.07
307, 0.10
308, 0.21
309, 0.56
310, 0.07
311, 0.33
312, 0.20
313, 0.33
314, 0.86
315, 0.47
316, 0.51
317, 0.05
318, 0.28
319, 0.52
320, 0.27
321, 0.49
322, 0.13
323, 0.55
324, 0.11
325, 0.36
326, 0.56
327, 0.50
328, 0.13
329, 0.65
330, 0.81
331, 0.08
332, 0.53
333, 0.14
334, 0.51
335, 0.36
336, 0.23
337, 0.19
338, 0.15
339, 0.12
340, 0.74
341, 0.14
342, 0.42
343, 0.33
344, 0.04
345, 0.25
346, 0.12
347, 0.07
348, 0.11
349, 0.02
